Clade,Family,Genus,Binomial,Bio01_mean,Bio04_mean,Bio05_mean,Bio06_mean,Bio12_mean,Bio15_mean,Bio16_mean,Bio17_mean
Serpentes,Colubridae,Gonyosoma,Gonyosoma oxycephalum,25.59186293,89.37083745,29.99568361,20.81340521,2459.612193,53.09917648,1084.090909,106.3636364
Serpentes,Colubridae,Gonyosoma,Gonyosoma jansenii,23.45683366,37.94463162,27.01852924,20.60544377,2587.596683,37.49129514,742.495857,90.55954072
Serpentes,Colubridae,Gonyosoma,Gonyosoma prasinum,21.72688569,312.0845347,29.05470871,11.45005744,1981.380245,82.62284764,1067.901785,588.3805231
Serpentes,Colubridae,Gonyosoma,Gonyosoma margaritatum,25.39036282,30.37840926,28.78040146,22.26775901,3087.527888,22.25024291,821.24,147.6
Serpentes,Colubridae,Gonyosoma,Gonyosoma frenatum,16.15503759,668.3500984,28.18000833,1.432737957,1392.091314,70.07979798,728.3839165,82.07229956
Serpentes,Colubridae,Gonyosoma,Gonyosoma boulengeri,22.43012258,466.3750098,30.1816559,11.05781002,1720.218905,73.71316838,801.3214286,93.96428571
Serpentes,Colubridae,Coelognathus,Coelognathus erythrurus,24.72490861,43.08465814,27.73147138,22.1569189,2371.937558,36.89121136,934.4497472,305.1428267
Serpentes,Colubridae,Coelognathus,Coelognathus subradiatus,25.15558717,62.01510396,27.71070124,22.71545753,1675.724404,77.33070124,897.2709319,70.5880798
Serpentes,Colubridae,Coelognathus,Coelognathus flavolineatus,25.36912034,42.62520578,28.88033531,22.04178651,2805.239464,33.59694219,1032.526513,410.248506
Serpentes,Colubridae,Coelognathus,Coelognathus helena,24.80103056,429.2354472,36.58437832,11.48586528,1211.601173,115.2404502,921.0751124,21.44209658
Serpentes,Colubridae,Coelognathus,Coelognathus radiatus,24.03963111,283.6836483,32.1267918,14.41044565,1866.633049,83.53554288,1050.168302,120.1058283
Serpentes,Colubridae,Euprepiophis,Euprepiophis mandarinus,15.59695319,704.7095824,28.34720972,0.12864055,1244.486215,73.80437577,677.4856136,210.7559975
Serpentes,Colubridae,Euprepiophis,Euprepiophis perlaceus,6.879511265,599.6340603,17.99792554,-6.766800041,1032.927239,84.71884874,681.7603916,71.58791778
Serpentes,Colubridae,Euprepiophis,Euprepiophis conspicillata,11.6107274,797.4921915,26.24612828,-2.453119099,1645.018091,39.72951845,486.5393532,106.8871185
Serpentes,Colubridae,Oreocryptophis,Oreocryptophis porphyraceus,20.29068475,419.5308484,28.85299647,9.102327676,1878.868393,71.53359519,1010.140483,11.28964409
Serpentes,Colubridae,Elaphe,Elaphe taeniura,18.05738116,514.8463665,28.11976605,5.721181887,1691.103674,69.48562039,414.2420602,26.00057147
Serpentes,Colubridae,Elaphe,Elaphe hodgsoni,13.99527479,589.4710827,25.50465673,-1.289731188,1652.975989,90.83671251,206.8672621,23.2206256
Serpentes,Colubridae,Elaphe,Elaphe moellendorffi,20.95725229,534.7869029,29.9372232,8.22358907,1626.973687,70.93171643,1092.982561,50.51954355
Serpentes,Colubridae,Elaphe,Elaphe cantoris,16.495093,469.3014529,24.58438267,3.652541859,2549.480529,87.79321646,523.7007434,51.94975961
Serpentes,Colubridae,Zamenis,Zamenis hohenackeri,9.551491524,808.9250815,26.44206374,-6.336342006,628.7103384,49.18445763,279.1063512,63.61129761
Serpentes,Colubridae,Zamenis,Zamenis persicus,10.99824056,788.217621,27.23981453,-4.775275882,606.4468844,44.67432636,250.0419806,66.11183744
Serpentes,Colubridae,Zamenis,Zamenis longissimus,11.08457709,748.7912159,26.80725921,-3.086240628,734.5473684,34.89385619,271.7464476,114.8241633
Serpentes,Colubridae,Zamenis,Zamenis lineatus,14.93938856,579.7901583,27.4510606,4.533950941,664.5930538,44.47877545,269.125997,61.30439494
Serpentes,Colubridae,Zamenis,Zamenis situla,13.5656008,691.6446558,28.33252487,1.032574753,773.9588798,51.85691193,352.4164863,67.25102636
Serpentes,Colubridae,Zamenis,Zamenis scalaris,14.2035476,588.1471217,29.03650317,2.599397494,659.2811977,42.55723091,259.4052652,50.57941072
Serpentes,Colubridae,Oocatochus,Oocatochus rufodorsatus,8.870743459,1124.395691,27.68570195,-13.101966,840.5382359,89.58440992,193.2765363,136.773743
Serpentes,Colubridae,Coronella,Coronella girondica,14.17042764,610.8626479,29.37342171,2.078631213,634.2154866,40.75961011,242.8268018,61.4382592
Serpentes,Colubridae,Coronella,Coronella austriaca,8.33298841,876.1040793,25.58366511,-7.202667847,626.3400256,33.70468388,235.4536226,97.20793707
Serpentes,Colubridae,Elaphe,Elaphe zoigeensis,0.453846154,696.9153846,14.85384615,-16.99230769,776.0769231,82.30769231,851.2697442,136.6318606
Serpentes,Colubridae,Elaphe,Elaphe climacophora,11.60985728,797.2404265,26.23458102,-2.443619693,1647.466919,39.69892291,676.6518115,87.88523963
Serpentes,Colubridae,Elaphe,Elaphe sauromates,11.05236707,948.1051317,30.12371215,-6.055106007,416.9307921,38.49710513,337.9052813,95.47575488
Serpentes,Colubridae,Elaphe,Elaphe quatuorlineata,13.28377401,658.3968047,27.51567582,1.233322299,829.8837166,40.39988638,677.8775829,211.1591159
Serpentes,Colubridae,Elaphe,Elaphe carinata,16.45487173,688.5983254,28.83415195,1.522774005,1298.809456,68.2010201,1566.850453,52.19454732
Serpentes,Colubridae,Elaphe,Elaphe davidi,7.361465249,1198.877117,27.17136196,-16.22814021,617.6681854,104.3559919,678.4150116,211.2460397
Serpentes,Colubridae,Elaphe,Elaphe dione,5.767276134,1186.947309,27.30189923,-16.9067146,354.8579073,76.43004824,460.3679636,16.18269665
Serpentes,Colubridae,Elaphe,Elaphe bimaculata,12.63278276,884.0281779,28.29094775,-5.382095637,921.2697502,80.9758203,495.1744431,41.83250398
Serpentes,Colubridae,Elaphe,Elaphe quadrivirgata,11.61448424,797.3241071,26.24481761,-2.442556518,1646.582061,39.6978587,862.8583607,96.49952653
Serpentes,Colubridae,Elaphe,Elaphe schrenckii,1.208829824,1422.590842,24.14786961,-25.24221031,640.2661418,90.15828261,166.7458768,55.20626493
Serpentes,Colubridae,Elaphe,Elaphe anomala,11.27145842,980.7888138,28.43793999,-8.61499475,796.9839873,88.7599494,261.5188075,2.75196872
